Lp.;Nazwa repozytorium;Nazwa zmiany;Data publikacji;Link URL
1;garmr;chore: Update node requirments in README (#69);2020-02-10T08:55:43Z;https://github.schibsted.io/bergens-tidende/garmr/commit/322b1ca563d2596a80bd1299a2df8f6cdcbe8d22
2;garmr;Revert "chore: Update node requirments in README (#69)" (#71);2020-02-10T09:45:26Z;https://github.schibsted.io/bergens-tidende/garmr/commit/7c9fcf106ed1248b4d5413a93dd272915f67590d
3;comments-moderation-dashboard;Introduce requireDir for loading auth lists;2020-02-12T14:37:56Z;https://github.schibsted.io/bergens-tidende/comments-moderation-dashboard/commit/5d1c50897ee2db1e60aab02d23c638ef8e08f72a
4;comments-front;Move server configuration to json file;2020-02-12T15:01:00Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/6706f4acfbef18492a2bd33f5fe01779313859a8
5;comments-moderation-dashboard;Merge pull request #315 from bergens-tidende/load-auth-list-as-dir;2020-02-12T15:46:05Z;https://github.schibsted.io/bergens-tidende/comments-moderation-dashboard/commit/b8de043a8004d609ccef7798dab3c8ea1295f74d
6;comments-front;Merge pull request #440 from bergens-tidende/src-server-config-json;2020-02-12T15:52:14Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/ee738594406697ff02c32baf3f33624d32f95aeb
7;moderation-service;feat: add Adresseavisen publication (#138);2020-02-13T15:08:09Z;https://github.schibsted.io/bergens-tidende/moderation-service/commit/b909af2b8eba768b982132bda26bb61d5306a8f7
8;comment-rules-service;feat: add Adresseavisen publication (#62);2020-02-13T15:09:00Z;https://github.schibsted.io/bergens-tidende/comment-rules-service/commit/05b84d0683efd253d1469907e244187d07726e53
9;comments-api;feat: add Adresseavisen publication (#368);2020-02-13T15:09:19Z;https://github.schibsted.io/bergens-tidende/comments-api/commit/867168c2bc774949c1aacbeaf5b2f36060e5454d
10;garmr;feat: add Adresseavisen publication (#73);2020-02-13T15:10:16Z;https://github.schibsted.io/bergens-tidende/garmr/commit/57d7882614de3ca1567558cf56ed60802b4626eb
11;comments-moderation-dashboard;feat: add Adresseavisen publication (#316);2020-02-13T15:10:44Z;https://github.schibsted.io/bergens-tidende/comments-moderation-dashboard/commit/ab048ad57a24a1a8222671e79fd7734ede99e1f4
12;comments-front;feat: add Adresseavisen publication;2020-02-13T15:11:18Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/b84f21a5eed101af5bc342334651cc00275d81e0
13;comments-bifrost;feat: add Adresseavisen publication (#219);2020-02-17T12:36:24Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/f18ca4cfcf6ce045be2ef3f36daf7474097ca99e
14;garmr;fix: change banDuration id in migration (#75);2020-02-18T15:44:37Z;https://github.schibsted.io/bergens-tidende/garmr/commit/e671b54fd7ae0b800fca8a7f4faae457a72f64c6
15;comments-bifrost;chore: adjustments for mimir (#220);2020-02-25T10:13:58Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/f45f947d38d32374f9018724fb9affbd21961785
16;comments-bifrost;chore: bump node version 8.2.1 -> 8.4.0 (#222);2020-02-25T14:11:25Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/dec864ea54093bc99f4ab46a62cb1d98bb076495
17;comments-bifrost; chore: change node version 8.2.1 -> 8.4.0 on prod (#223);2020-02-25T14:29:56Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/6ef8dacd1fb0bd92fdd6a14767c84a6b9d7378e0
18;comments-shared;improvement($test): Run tests as pre-commit hook (#77);2020-02-26T11:38:43Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/6c84bda7cc51b5122ee69a40e299987fb6d4167d
19;comments-bifrost;feat: add TekGuide.se publication (#224);2020-02-27T10:16:38Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/a60ac7d4bea217a4182321eb33841ede59c8869f
20;comment-rules-service;feat: add TekGuide.se publication (#63);2020-02-27T10:21:25Z;https://github.schibsted.io/bergens-tidende/comment-rules-service/commit/991a53b0b2d1a3ee89b274aae02f56961f453f2b
21;comments-api;feat: add TekGuide.se publication (#372);2020-02-27T10:29:15Z;https://github.schibsted.io/bergens-tidende/comments-api/commit/ea1a85c2cabb0818015be845fae156a9ba4999d5
22;comments-moderation-dashboard;feat: add TekGuide.se publication (#319);2020-02-27T10:38:22Z;https://github.schibsted.io/bergens-tidende/comments-moderation-dashboard/commit/6bdcfc187c1161c135631439c96f5e8065ff8668
23;comments-front;feat: add TekGuide.se publication (#450);2020-02-27T10:41:38Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/934793ff9ec9366d6b08aec6de3b91669ee1b5ef
24;garmr;feat: add TekGuide.se publication (#76);2020-02-27T10:41:49Z;https://github.schibsted.io/bergens-tidende/garmr/commit/b2b1f9ec254b9270a419c9995b981ca03013724a
25;moderation-service;feat: add TekGuide.se publication (#140);2020-02-27T10:41:59Z;https://github.schibsted.io/bergens-tidende/moderation-service/commit/03eb3bb3b0adc2ee9c7fb8696e671a1b16e669ab
26;comments-bifrost;chore: Re-enable deployment on production (#226);2020-02-27T10:59:27Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/5aa2bf186a96fbeea6e6704ddde9aef46dee6fe0
27;comments-bifrost;fix: secrets for tekse (#228);2020-02-27T11:42:13Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/2147b959ca31aae1628c095aa37dd9fec58797a3
28;comments-bifrost;fix: Value of API SECRET for adressa (#227);2020-02-27T11:59:16Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/9b99ff3cd814c2cdc62005c548cfae610ee54644
29;comments-bifrost;fix: adressa secrets for stage env (#229);2020-02-27T12:30:09Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/f683cc36989ee6b0bf275a12977ebe45909edcb7
30;comments-bifrost;fix: adressa secrets for prod env (#230);2020-02-27T14:28:41Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/7fb9773fdc7c0f24f92cd06d16adf6b81d79ee41
31;comments-bifrost;fix: fix reference of adressa env for prod (#231);2020-02-27T15:10:56Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/e204bbb0c4fcf8afe1f3188962c27a4f3d2bdf21
32;comments-shared;release(@bt/mimir): 1.0.0 (#79);2020-02-27T15:33:45Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/53a1c8832cdae0403c4c4f1b2fc507e1ccbe332c
33;comments-shared;feat(@bt/mimir): add support for bifrost (#89);2020-03-02T09:44:45Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/e384299dbaa6c1f6d138a7703b0da26ec8478c23
34;comments-shared;Publish;2020-03-03T11:59:06Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/bb4b50864d9a2e7ce91b857bdee1e6673a56fa0a
35;comments-shared;feat(@bt/comments-api-hapi-plugin) add import endpoint (#92);2020-03-17T08:13:06Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/bf46227f222aa81cfbad9768eb05387308df0ecb
36;comments-api; feat: Add endpoint for importing comments (#377);2020-04-03T10:29:53Z;https://github.schibsted.io/bergens-tidende/comments-api/commit/9848052d027cbec296b18957864a97298fdac3f7
37;comments-shared;feat(@bt/mimir) Add import-comments command (#93);2020-04-03T10:30:03Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/ecb767854581082f81ecb0d6dd0deb796b281a55
38;comments-front;chore: whitelist web-review.schibsted.media (#456);2020-04-07T13:25:43Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/798444b02bae3df1b6fa81324329e00a9e4819f2
39;comments-bifrost;chore: whitelist schibsted.media (#236);2020-04-07T13:43:52Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/a9db939b37ca5d63c9b4f59956d0a609d53d0e4d
40;comments-shared;feat(@bt/moderation-service-hapi-plugin): handle user email;2020-04-27T13:00:07Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/06b73bccd6e4d522a2c5214f450079f0728c6dcc
41;comments-api;chore: Enable user email for communication to moderation-service (#390);2020-04-27T13:46:48Z;https://github.schibsted.io/bergens-tidende/comments-api/commit/4a8380cb5c6bff4c26f7a1b17763fceb4cea1443
42;comments-bifrost;feat: pass email to moderation service to do temp email check (#243);2020-04-27T13:51:57Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/24e813edc976d05c588fa24fd7801bdac9c7efbe
43;moderation-service;feat: check for temporary email domains (#149);2020-04-27T14:02:19Z;https://github.schibsted.io/bergens-tidende/moderation-service/commit/d1d3672a80cabd20ab3a56b1251fa11f1c4083e6
44;moderation-service;feat: higher prio for checking emails domain (#150);2020-04-29T07:08:10Z;https://github.schibsted.io/bergens-tidende/moderation-service/commit/1f5bab88d5569e599f9c94d38cca1a94af5fbfdc
45;moderation-service;feat: higher prio for forbidden emails check and add unit tests for ctrl (#151);2020-04-30T06:32:59Z;https://github.schibsted.io/bergens-tidende/moderation-service/commit/bd14870ccdb29ad2d247c13b8fef27d9792ede37
46;comments-bifrost;feat: Allow review comments front to communcate with bifrost (#244);2020-05-08T12:59:25Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/34281c40ebabe56ad56197112f660d8f481814cb
47;comments-front;feat: Prepare terraform configuration for staging and review env (#463);2020-05-11T12:39:36Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/9b2ba4e5a610743116fe64fd3b4840e4b758d80e
48;comments-bifrost;chore: change cors policy for review apps (#245);2020-05-13T10:32:01Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/dfee86023ae06336a9dc945dd1036c6ed8a1488e
49;comments-front;feat: add check if review infra should be destroyed (#471);2020-05-13T10:41:31Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/1f1b5869d9de74362237e915a91b5335f3ddd8c2
50;comments-front;chore: check for all recent merged pull requiest (#475);2020-05-13T11:07:51Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/2c598ce2f29f6a4061bae8ab5fdb68e1db046645
51;comments-front;chore: update readme with information about branch names (#476);2020-05-13T12:02:12Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/c14a07d6a550183fa04d0342a45293a10965396a
52;core-comments-alerts;feat: Compact slack notification and fix link to query (#4);2020-05-15T09:41:17Z;https://github.schibsted.io/bergens-tidende/core-comments-alerts/commit/b57a6f5318b2ea8893d4d3fb9c57f5247ad33306
53;moderation-service;feat: Spammer check should be done before premoderation check (#153);2020-05-15T09:42:16Z;https://github.schibsted.io/bergens-tidende/moderation-service/commit/bae0d2a1c78e287e6bb6c02467e073d5df5bd925
54;comments-spid-sync;feat: set up VG journalists (#44);2020-05-19T09:04:34Z;https://github.schibsted.io/bergens-tidende/comments-spid-sync/commit/859b68656827c046437b7bac38d83c59b5e19e6d
55;comments-spid-sync;fix: heroku addons (#45);2020-05-19T10:43:11Z;https://github.schibsted.io/bergens-tidende/comments-spid-sync/commit/3a16972b5c69faaaae8ef6552084dbf33da3c950
56;comments-moderation-dashboard;feat: change layout in rows header (#349);2020-05-26T11:32:36Z;https://github.schibsted.io/bergens-tidende/comments-moderation-dashboard/commit/0a36617946fe6270f345df8c03b57ff7bf60e363
57;comments-moderation-dashboard;feat: change layout in rows header (#349);2020-05-26T11:32:36Z;https://github.schibsted.io/bergens-tidende/comments-moderation-dashboard/commit/310b6ce971e8d61c47414ddc0adaba6871c88a0b
58;moderation-service;feat: merge articles metadata with comments (#159);2020-05-28T10:07:49Z;https://github.schibsted.io/bergens-tidende/moderation-service/commit/81f5b6c7942fff9d0dc59671a2818222d74bd329
59;dirtyhandometer;feat: add iot code (#1);2020-05-28T10:08:12Z;https://github.schibsted.io/bergens-tidende/dirtyhandometer/commit/1fdad4c5a77ecc0637e3a35158de3223a34b7610
60;comments-api;chore: add unique constraint on userId commentId in UserVotes table (#402);2020-06-09T21:15:52Z;https://github.schibsted.io/bergens-tidende/comments-api/commit/c42a4759cb49d0030b3941324ba4bb25781e371c
61;notification-service;Initial commit;2020-06-16T11:05:54Z;https://github.schibsted.io/premium-notifications/notification-service/commit/8fffbaea9eb7624754428de4e8993dc70653e470
62;notification-service;chore: Initial folders structure (#1);2020-06-16T12:44:26Z;https://github.schibsted.io/premium-notifications/notification-service/commit/a2e76320a7109343939c24f667374a895428c9db
63;notification-service;chore: Init README (#2);2020-06-16T12:44:47Z;https://github.schibsted.io/premium-notifications/notification-service/commit/432cc486ef1b51846afc62ba323a483229a61a97
64;notification-service;chore: Add travis.yml, init using npm init and add scripts folder (#3);2020-06-16T14:25:36Z;https://github.schibsted.io/premium-notifications/notification-service/commit/c10ea2437a56fb88245a2a612f709ef2a7247373
65;notification-service;chore: add slack travis integration (#5);2020-06-17T10:51:14Z;https://github.schibsted.io/premium-notifications/notification-service/commit/230792b1ae461d4d6ff4630e40e1bcd323364157
66;comments-activity-store;chore: add slack travis integration;2020-06-17T11:04:54Z;https://github.schibsted.io/bergens-tidende/comments-activity-store/commit/675c0d1354e2318b36b655c6b85452901284543f
67;comment-rules-service;chore: Add slack travis integration (#68);2020-06-19T07:07:20Z;https://github.schibsted.io/bergens-tidende/comment-rules-service/commit/9fe6f79d921857e6da425d517dbf23ebbc593f2b
68;comments-activity-store;Merge pull request #21 from bergens-tidende/slack-travis;2020-06-19T07:07:27Z;https://github.schibsted.io/bergens-tidende/comments-activity-store/commit/da7bea8075b3c9f479ebc5e9da0a6ded183c9c3a
69;comments-api;chore: Add slack travis integration (#405);2020-06-19T07:07:35Z;https://github.schibsted.io/bergens-tidende/comments-api/commit/c8c39ee6c76491e4933bd14d688b103369e4b22c
70;comments-bifrost;chore: Add slack travis integration (#254);2020-06-19T07:07:40Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/22567b9a85ec46cfc03a40470f17d0b2d6a487a0
71;comments-front;chore: Add slack travis integration (#501);2020-06-19T07:07:49Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/f6567c233c07615fe8d76ad760d7e346cb88e105
72;comments-moderation-dashboard;chore: Add slack travis integration (#369);2020-06-19T07:07:55Z;https://github.schibsted.io/bergens-tidende/comments-moderation-dashboard/commit/c094ec0997367dd804a25dadeb02da7fc9f750aa
73;comments-moderation-queue;chore: Add slack travis integration (#27);2020-06-19T07:08:04Z;https://github.schibsted.io/bergens-tidende/comments-moderation-queue/commit/28386f25eb0d375c2f81d834d1eff1ee5fc95dca
74;comments-spid-sync;chore: Add slack travis integration (#46);2020-06-19T07:08:10Z;https://github.schibsted.io/bergens-tidende/comments-spid-sync/commit/3571b2425af78e04d4ec653b91b2608a7e27d8c1
75;comments-stats-dashboard;chore: Add slack travis integration (#49);2020-06-19T07:08:23Z;https://github.schibsted.io/RND/comments-stats-dashboard/commit/bd4b1b1cee7f6ac652e78c74fc4bdf449c26d79a
76;comments-stats-service;chore: Add slack travis integration (#46);2020-06-19T07:08:31Z;https://github.schibsted.io/RND/comments-stats-service/commit/687ed4a3185650cd2a9b39dfdb2c4b9cfe6ba773
77;garmr;chore: Add slack travis integration (#85);2020-06-19T07:08:39Z;https://github.schibsted.io/bergens-tidende/garmr/commit/a3a0900ad6149d8a51065716cb8044efa111bca0
78;moderation-service;chore: Add slack travis integration (#169);2020-06-19T07:08:49Z;https://github.schibsted.io/bergens-tidende/moderation-service/commit/6dabcd70e54f2918bd0b3a8722fb1553f3cf1945
79;privacy-service;chore: Add slack travis integration (#83);2020-06-19T07:09:03Z;https://github.schibsted.io/bergens-tidende/privacy-service/commit/40a9b6c7b0c447297a11901cb6b7e61590def65d
80;notification-service;Update README.md;2020-06-22T12:46:31Z;https://github.schibsted.io/premium-notifications/notification-service/commit/f53483892ac75989b077c0be14ca836d387c205a
81;comments-front;chore: bumb @schibsted/account-sdk-browser: 3.0.6 -> 3.4.0 (#481);2020-06-23T17:25:45Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/48d29af4eb7ae69e8390a6cadb0eb8faaa45d93f
82;comments-shared;feat(@bt/jwt-hapi-plugin): BREAKING CHANGE: Support JWS and Hapi 19, … (#101);2020-06-25T10:45:49Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/045ed6cf211f4cabb4cad12ef807f5fc9af58519
83;comments-shared;Publish;2020-06-25T10:48:32Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/fc3f25837a5f8f50536564c0f1eff24f6329544e
84;comments-shared;feat(@bt/jwt-hapi-plugin): BREAKING CHANGE: support user tokens (#102);2020-06-30T11:17:13Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/963f10083393a7b404e1367fc6ffd55a9d35aa3b
85;comments-shared;fix(@bt/jwt-hapi-plugin): fix header in introspection and append publication to user credentials (#103);2020-06-30T13:56:39Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/97af4b54a310047ecb2a55887fd292e00766038a
86;comments-shared;chore: ingnore files when publishing (#104);2020-06-30T14:48:22Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/a0e37517df5bf613955f8ff1d594fa57b7db1aae
87;comments-front;fix: quick fix for heroku formation (#508);2020-06-30T16:29:06Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/f6264bcbf216536071a8f71c8abaa13902718f08
88;notification-service;feat: introduce Schibsted account OAuth2 authentication (#9);2020-07-02T08:12:05Z;https://github.schibsted.io/premium-notifications/notification-service/commit/e88c0382543de1727d3a2b3b086877c6f65fd13b
89;notification-service;feat: prepare config of development infra (#11);2020-07-08T15:16:20Z;https://github.schibsted.io/premium-notifications/notification-service/commit/743228c0bcfd7aeff59d3973195bedbc598a243f
90;comments-shared;feat(@bt/unleash-client-js) Introduce new package in the repo (#105);2020-07-13T11:37:30Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/f59cf121babde4bcad0e53ecc8a231bf54c0f7de
91;comments-shared;fix(@bt/unleash-client-js) small fixes (#106);2020-07-14T07:39:54Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/c6741915688d195c653a0ec58333fb7a008fb05c
92;comments-shared;feat(@bt/unleash-client-js) support for browser storage (#107);2020-07-14T12:18:42Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/e7cf3d8c5a498a48a53099369b14ae1cc7393b3b
93;comments-shared;fix(@bt/unleash-client-js) small fixes and add buckets (#108);2020-07-14T15:20:10Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/7d37a6d7e0284ea6fe4968fcaaa4db43bd920f59
94;notification-service;feat: Integrate feature toggle with createNewTopics (#13);2020-07-16T08:06:14Z;https://github.schibsted.io/premium-notifications/notification-service/commit/ddaba320bf991038d4806178268f88b888fce07e
95;notification-service;chore: freeze serverless (#18);2020-07-22T09:55:18Z;https://github.schibsted.io/premium-notifications/notification-service/commit/084f87d1fedcdcc531df124d232fb5bf81aadc0a
96;notification-service;chore: prepare existing resources for a stage env (#19);2020-07-22T13:55:14Z;https://github.schibsted.io/premium-notifications/notification-service/commit/2e87447e1a1bd9362a79efc89ab838134c7896ba
97;notifications-convox-rack-config;chore: setup repo;2020-07-23T16:48:02Z;https://github.schibsted.io/premium-notifications/notifications-convox-rack-config/commit/d973f32bb1b23969101236540a8d549125bc4b11
98;notifications-convox-rack-config;Move travis.yml to repos root;2020-07-23T16:53:16Z;https://github.schibsted.io/premium-notifications/notifications-convox-rack-config/commit/07ba965a53293a74b5fe46cfaa885a2b9945232e
99;notifications-convox-rack-config;Update scripts permission;2020-07-23T16:58:49Z;https://github.schibsted.io/premium-notifications/notifications-convox-rack-config/commit/b4a8b20761712805fb21f7f583d59d224fea6de1
100;notification-service;feat: add convox and Dockerfile (#20);2020-07-24T08:13:14Z;https://github.schibsted.io/premium-notifications/notification-service/commit/d87813e815b2bc5e75487a9f254e8663aa1ca32a
